year,county,annual_eto_in,annual_precip_in,water_deficit_in
2024,Stanislaus,38.58547861547988,0.0,38.58547861547988
2014,Sutter,55.34397580196715,0.0,55.34397580196715
2016,Sutter,52.15800920406918,0.0,52.15800920406918
2018,Sutter,53.72198206285804,0.0,53.72198206285804
2019,Sutter,51.19868706494141,0.0,51.19868706494141
2020,Sutter,36.122513349282926,0.0,36.122513349282926
2021,Sutter,49.70382365166251,0.0,49.70382365166251
2022,Sutter,58.24627844858881,0.0,58.24627844858881
2023,Sutter,51.042552810754884,0.0,51.042552810754884
2024,Sutter,54.72184191551247,0.0,54.72184191551247
2014,Tehama,47.250057223874634,0.0,47.250057223874634
2016,Tehama,29.048138605879714,0.0,29.048138605879714
2018,Tehama,51.35559319199487,0.0,51.35559319199487
2019,Tehama,49.31372283758221,0.0,49.31372283758221
2020,Tehama,51.35220446528622,0.0,51.35220446528622
2021,Tehama,47.756715333798205,0.0,47.756715333798205
2022,Tehama,41.99596172126717,0.0,41.99596172126717
2023,Tehama,48.43460875792729,0.0,48.43460875792729
2024,Tehama,50.308270849783284,0.0,50.308270849783284
2014,Trinity,49.70452340484215,0.0,49.70452340484215
2016,Trinity,13.703516567333853,0.0,13.703516567333853
2018,Trinity,46.958497292017356,0.0,46.958497292017356
2019,Trinity,46.02880220059996,0.0,46.02880220059996
2020,Trinity,41.62532763688211,0.0,41.62532763688211
2021,Trinity,33.6427908429943,0.0,33.6427908429943
2022,Trinity,43.357597389010145,0.0,43.357597389010145
2023,Trinity,42.191687755159506,0.0,42.191687755159506
2024,Trinity,43.87420807476527,0.0,43.87420807476527
2014,Tulare,54.81253797617968,0.0,54.81253797617968
2016,Tulare,25.594133460543304,0.0,25.594133460543304
2018,Tulare,60.42167549898016,0.0,60.42167549898016
2019,Tulare,53.80151138652993,0.0,53.80151138652993
2020,Tulare,49.12150395708108,0.0,49.12150395708108
2021,Tulare,52.441199844235534,0.0,52.441199844235534
2022,Tulare,56.616248343820445,0.0,56.616248343820445
2023,Tulare,52.56783467314102,0.0,52.56783467314102
2024,Tulare,57.927588150742636,0.0,57.927588150742636
2014,Tuolumne,54.95713580365743,0.0,54.95713580365743
2016,Tuolumne,55.375299499009635,0.0,55.375299499009635
2018,Tuolumne,44.67902604730408,0.0,44.67902604730408
2019,Tuolumne,13.084940721056508,0.0,13.084940721056508
2020,Tuolumne,3.31908375242191,0.0,3.31908375242191
2022,Tuolumne,38.33597914645731,0.0,38.33597914645731
2023,Tuolumne,47.74238196041612,0.0,47.74238196041612
2024,Tuolumne,51.35527088703332,0.0,51.35527088703332
2014,Ventura,49.43733847593559,0.0,49.43733847593559
2016,Ventura,48.989841606887694,0.0,48.989841606887694
2018,Ventura,42.0779360069772,0.0,42.0779360069772
2019,Ventura,46.02169551833428,0.0,46.02169551833428
2020,Ventura,20.49194861742702,0.0,20.49194861742702
2021,Ventura,45.105953578112604,0.0,45.105953578112604
2022,Ventura,52.97585043098534,0.0,52.97585043098534
2023,Ventura,11.660822104942785,0.0,11.660822104942785
2024,Ventura,46.167714580308065,0.0,46.167714580308065
2014,Yolo,40.93682052718186,0.0,40.93682052718186
2016,Yolo,47.5559026708693,0.0,47.5559026708693
2018,Yolo,53.85709209752907,0.0,53.85709209752907
2019,Yolo,52.02091511232215,0.0,52.02091511232215
2020,Yolo,53.23714765475297,0.0,53.23714765475297
2021,Yolo,20.19801317253523,0.0,20.19801317253523
2022,Yolo,35.666926741084445,0.0,35.666926741084445
2023,Yolo,52.351967017278845,0.0,52.351967017278845
2024,Yolo,55.919571311660384,0.0,55.919571311660384
2014,Yuba,54.67660957076203,0.0,54.67660957076203
2016,Yuba,51.016315076484844,0.0,51.016315076484844
2018,Yuba,52.79922451389131,0.0,52.79922451389131
2019,Yuba,50.14981984118882,0.0,50.14981984118882
2020,Yuba,53.26181786414106,0.0,53.26181786414106
2021,Yuba,46.87272735970527,0.0,46.87272735970527
2022,Yuba,53.42526193135044,0.0,53.42526193135044
2023,Yuba,48.564772027980766,0.0,48.564772027980766
